"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Восстановление пароля","3","0","","0"
"0","","0","Основной функционал","6","0","","0"
"0","","0","Лента заказов","5","0","","0"
"0","","0","Личный кабинет","3","0","","0"
